ID,Line,CMP,Freq,AmpKurt,AmpSlp,CIP,CndWtFreq,CompAbs,DomPowS,IDomFreq,InfoEntr,MaxPkAmp,RelQ,RespBand,SValue
90,795,1298,26.1225,29573,-0.0119909,0.0119106,25.6912,22593.9,27,25.8038,248.92,12922.1,4.93938,2.77975,14.5
91,805,1224,29.3251,41401.2,-0.016329,-0.000186167,29.2857,27086,30,28.3399,221.652,13847.7,5.47168,4.19938,17.875
92,805,1225,29.7971,40458.3,-0.0166291,-0.0132932,29.1957,26498.1,31,28.0358,213.467,13539.2,5.29168,4.27456,17.875
93,805,1226,30.2977,38734.6,-0.0178954,0.00870109,29.7872,26358.8,31,28.6631,214.363,13705.9,4.99437,4.80183,17.875
94,806,1224,30.2759,40600.6,-0.0164148,-0.0315146,29.54,26514,31,28.4279,223.697,13467.7,5.47976,4.0713,17.875
95,806,1225,30.4031,40555.6,-0.0172381,-0.00970503,29.4408,27149,32,28.1861,221.265,13973.3,5.10139,4.50308,17.875
96,806,1226,30.9032,37741.4,-0.0186276,-0.0216545,29.9239,26028,33,28.8771,213.971,13656.9,4.80953,4.94031,17.875
97,807,1224,31.0773,40906.1,-0.0165881,-0.0417824,29.7436,26629,32,28.2486,222.776,13445.8,5.26964,4.18977,17.875
98,807,1225,31.068,39175.3,-0.0177108,-0.0407947,29.8564,26657.3,33,28.3134,214.747,13760.2,5.05569,4.49129,17.875
99,807,1226,30.2261,38203.6,-0.0178178,-0.014761,30.1762,26346.8,27,29.008,215.643,13752,4.91659,4.65112,17.875
100,836,1240,30.033,34550.3,-0.0144023,-0.0062958,27.8018,25076.2,31,25.8909,239.402,13904.7,4.83446,3.27526,23.875
101,836,1241,28.2077,36962.1,-0.0138538,-0.0247186,27.5568,26735,30,26.1045,247.74,14811.9,5.12375,3.01546,23.875
102,836,1242,25.0308,36060.7,-0.0133821,-0.00697341,26.8229,24356.8,24,26.0272,247.169,13417.1,5.13683,3.05461,23.875
103,837,1240,24.5814,38058,-0.0122581,0.0180688,25.6585,25329.8,25,25.7684,247.735,13836.9,5.45023,2.75556,23.875
104,837,1241,24.5516,39007.4,-0.0124006,0.00277728,25.4723,26263.2,25,26.0883,254.814,14555.2,5.52972,2.71733,23.875
105,837,1242,24.6667,36371.4,-0.0121314,-0.000478555,26.063,24419.1,25,26.0366,250.481,13376.3,5.65968,2.60082,23.875
106,838,1240,24.9525,37791.5,-0.0122259,0.0296171,26.2796,25071.9,25,25.9959,249.351,13675.9,5.52813,2.72811,23.875
107,838,1241,25.0019,37206.9,-0.0127801,0.00722587,27.0661,25203.5,25,26.2767,252.505,14182.6,5.33334,2.85971,23.875
108,838,1242,25.3093,36446.1,-0.0119794,0.00930619,26.7867,24376.3,25,26.3094,244.706,13406.2,5.66993,2.59512,23.875
109,859,1188,30.2148,41031.9,-0.0168366,-0.0252676,27.7949,29465.3,31,27.3512,232.535,15995.5,5.56781,3.87504,22.375
